Chemical A
0.872789504
0.838562464
0.804335425
0.787221905
0.855675984
0.924130063
0.787221905
0.855675984
0.752994866
0.838562464
0.924130063
0.821448945
0.821448945
0.735881346
0.992584141
0.975470622
0.924130063
0.872789504
0.975470622
0.872789504
0.924130063
0.872789504
0.787221905
0.872789504
0.821448945
0.855675984
0.855675984
0.889903023
0.889903023
0.804335425
0.821448945
0.924130063
0.889903023
0.941243582
0.838562464
0.855675984
0.941243582
0.838562464
0.752994866
0.872789504
0.855675984
0.770108386
0.752994866
0.855675984
0.872789504
0.821448945
0.872789504
0.787221905
0.907016543
0.855675984
